Category,Instance,Result,Time
../problems/regex-big,regex-big-00022-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00127-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00064.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00204.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00162-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00071-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00092.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00113-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00127.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00085-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00092-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00141-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00183.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00050.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00204-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00148-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00169.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00106.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00043-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00057-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00057.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00085.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00148.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00015-model.smt25,sat,4.325718879699707
../problems/regex-big,regex-big-00162.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00099.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00022.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00001.smt25,sat,0.016530990600585938
../problems/regex-big,regex-big-00134-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00183-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00106-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00176-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00015.smt25,sat,4.426533937454224
../problems/regex-big,regex-big-00197.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00064-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00099-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00043.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00008.smt25,sat,0.11547207832336426
../problems/regex-big,regex-big-00078-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00036-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00176.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00190-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00029.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00155.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00113.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00029-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00190.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00134.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00120-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00169-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00141.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00120.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00008-model.smt25,sat,0.16525602340698242
../problems/regex-big,regex-big-00036.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00078.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00155-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00050-model.smt25,timeout (30.0 s),30.0
../problems/regex-big,regex-big-00001-model.smt25,sat,0.016592025756835938
../problems/regex-big,regex-big-00071.smt25,timeout (30.0 s),30.0
../problems/lengths-short,lengths-short-00201.smt25,sat,0.31527209281921387
../problems/lengths-short,lengths-short-00021-model.smt25,sat,0.03257012367248535
../problems/lengths-short,lengths-short-00081-model.smt25,sat,0.1148369312286377
../problems/lengths-short,lengths-short-00161.smt25,sat,0.1651320457458496
../problems/lengths-short,lengths-short-00216-model.smt25,sat,0.2662820816040039
../problems/lengths-short,lengths-short-00101-model.smt25,sat,0.11502313613891602
../problems/lengths-short,lengths-short-00186.smt25,sat,0.21497488021850586
../problems/lengths-short,lengths-short-00116.smt25,sat,0.1150979995727539
